rank,ip,count,rate,percent,burst_rate,burst_start
1,10.139.14.220,30347,0.0147,99.97%,0.8200,0.147
2,36.155.223.162,27183,0.0132,89.55%,0.4500,1324.866
3,111.51.150.126,1289,0.0006,4.25%,0.1100,1266.030
4,183.194.237.51,520,0.0003,1.71%,0.1100,1276.240
5,36.155.240.148,375,0.0002,1.24%,0.6100,0.147
6,42.194.252.235,179,0.0001,0.59%,0.4100,12.490
7,221.181.81.139,172,0.0001,0.57%,0.0400,1325.041
8,36.155.163.65,120,0.0001,0.40%,0.0300,1225.872
9,120.232.27.228,120,0.0001,0.40%,0.0300,1225.872
10,111.31.240.184,120,0.0001,0.40%,0.0300,1225.871
